BUCHELY;115;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;SAN ANDRÉS DE TUMACO;SubArea Cauca-Narino;
CABAÑA (CAUCA);110-115;"COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP
NITRO ENERGY COLOMBIA S.A.S. E.S.P.";CAUCA;GUACHENÉ;SubArea Cauca-Narino;x,y,z
CATAMBUCO;115;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;PASTO;SubArea Cauca-Narino;x,y,z
EL ZAQUE;115;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;BOLÍVAR;SubArea Cauca-Narino;x,y,z
FLORIDA (CAUCA);115;VATIA S.A. E.S.P.;CAUCA;CAJIBÍO;SubArea Cauca-Narino;x,y,z
GUAPI;115;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;CAUCA;GUAPÍ;SubArea Cauca-Narino;x,y,z
INCAUCA;115;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;CAUCA;MIRANDA;SubArea Cauca-Narino;x,y,z
JAMONDINO;115-230;"CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.
ENLAZA GRUPO ENERGIA BOGOTA SAS ESP";NARIÑO;PASTO;SubArea Cauca-Narino;x,y,z
JAMUNDI;110-115;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;VALLE DEL CAUCA;JAMUNDÍ;SubArea Cauca-Narino;x,y,z
JARDINERA;66.39-115;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;TÚQUERRES;SubArea Cauca-Narino;x,y,z
JUNIN (NARIÑO);115;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;BARBACOAS;SubArea Cauca-Narino;x,y,z
OLAYA HERRERA;115;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;OLAYA HERRERA;SubArea Cauca-Narino;x,y,z
PAEZ;115-220-230;ISA INTERCOLOMBIA S.A. E.S.P.;CAUCA;GUACHENÉ;SubArea Cauca-Narino;x,y,z
PANAMERICANA;115-138;"ISA INTERCOLOMBIA S.A. E.S.P.
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.";NARIÑO;IPIALES;SubArea Cauca-Narino;x,y,z
PASTO;115;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;PASTO;SubArea Cauca-Narino;x,y,z
PRINCIPAL (POPAYAN);115;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;POPAYÁN;SubArea Cauca-Narino;x,y,z
RIO MAYO;115;"CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP";NARIÑO;SAN PABLO;SubArea Cauca-Narino;x,y,z
SAN BERNARDINO;115-230;"ISA INTERCOLOMBIA S.A. E.S.P.
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.
ENLAZA GRUPO ENERGIA BOGOTA SAS ESP";CAUCA;POPAYÁN;SubArea Cauca-Narino;x,y,z
SAN MARTIN;115;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;LA UNIÓN;SubArea Cauca-Narino;x,y,z
SANTANDER;115;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;SANTANDER DE QUILICHAO;SubArea Cauca-Narino;x,y,z
TESALIA;230;ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;HUILA;TESALIA;SubArea Cauca-Narino;x,y,z
INFORMACIÓN BÁSICA;;;UBICACIÓN;;;
Nombre;Voltaje nominal de operación [kV];Operador(es);Departamento;Municipio;Subárea operativa;Cordenadas
0;1;2;3;4;5;6
